DRG Definition,Provider State, Average Covered Charges ,Average Medicare Payments
315 - HEADACHE,TX,37697.1996799341,12138.498576913307
316 - FEVER,ID,46792.8216174801,11354.767122289724
315 - HEADACHE,UT,41193.71208299825,5867.145804934304
315 - HEADACHE,OH,12340.160380250545,4422.881196491406
313 - CHEST PAIN,CA,16214.169676607928,13449.9914554242
316 - FEVER,PA,20383.952079305767,3070.554832109411
317 - BACK PAIN,RI,12571.719995210187,7657.157084412235
313 - CHEST PAIN,TX,31174.309970285303,6331.350035536003
313 - CHEST PAIN,LA,48895.273586072806,9844.514404185884
317 - BACK PAIN,OR,39265.64750462714,6006.101230630016
315 - HEADACHE,WY,24052.403708035785,6734.464311939695
314 - ABDOMINAL PAIN,CO,5202.70164411299,13200.478259918324
316 - FEVER,WY,19097.420501218043,10238.265880854226
314 - ABDOMINAL PAIN,NC,28704.167946149686,4748.19032795242
317 - BACK PAIN,AZ,19591.28932333868,11717.65852194998
313 - CHEST PAIN,WI,9996.57153607368,5489.510417758541
313 - CHEST PAIN,OR,24924.423058785254,8196.05916134976
316 - FEVER,IA,16396.37676345723,10759.28684207152
313 - CHEST PAIN,WY,45915.456940767566,6263.154449489847
313 - CHEST PAIN,NY,9578.953782545708,7609.281776109507
316 - FEVER,NY,7211.868292611967,11809.79516764981
316 - FEVER,LA,5239.137611968792,14254.931441092122
317 - BACK PAIN,MO,19763.1358018546,9350.940683513676
313 - CHEST PAIN,MS,34717.407719039984,3119.651658679473
313 - CHEST PAIN,ME,37868.61887968067,7061.565014901966
317 - BACK PAIN,CA,25396.775752177542,7783.612018146414
315 - HEADACHE,IA,35794.789270487,7070.083440026929
315 - HEADACHE,CA,21196.131629691357,8235.226333386752
315 - HEADACHE,KS,35051.27989939776,10591.995045820797
317 - BACK PAIN,KS,6826.819338606803,4453.536323973038
313 - CHEST PAIN,CT,22583.884305515185,6271.566106410066
317 - BACK PAIN,NV,40588.23549349306,9091.777032211496
317 - BACK PAIN,KS,41135.27137065506,6786.879698159701
315 - HEADACHE,CA,37226.69504940626,14893.024057624312
314 - ABDOMINAL PAIN,PA,14190.737925643898,8177.177604449859
313 - CHEST PAIN,FL,16124.230351878496,13437.589843106594
315 - HEADACHE,KS,49823.99272690305,13758.118027366374
314 - ABDOMINAL PAIN,AZ,9652.010324088194,13032.0839966682
314 - ABDOMINAL PAIN,WI,13129.821450608422,3562.7788913420136
316 - FEVER,IN,10851.181504255967,14372.960779360217
313 - CHEST PAIN,TX,19744.4733657627,4544.910745598123
314 - ABDOMINAL PAIN,OK,14457.912585526552,3412.843532571534
315 - HEADACHE,MO,27395.958179649744,7972.43529487869
316 - FEVER,TN,26420.931809605394,5335.608393094273
313 - CHEST PAIN,NC,45567.752875308644,5210.358355958834
317 - BACK PAIN,NC,6563.297635015167,6453.835360513807
315 - HEADACHE,NM,19394.58095004935,5980.867262962258
314 - ABDOMINAL PAIN,AZ,31849.605139869058,11217.544825801837
314 - ABDOMINAL PAIN,IN,32216.07928297837,5241.327679632841
315 - HEADACHE,AL,26605.680305639413,9517.419662367103
314 - ABDOMINAL PAIN,OK,41704.949336658516,14837.118553722357
316 - FEVER,KS,7822.497713650646,8188.5890514754665
313 - CHEST PAIN,VA,41696.94945110611,10702.477305545239
316 - FEVER,IA,27263.94081960666,14632.460132758484
314 - ABDOMINAL PAIN,NJ,11019.231278465097,4651.667976496371
317 - BACK PAIN,OK,44856.58610932149,8023.284111516593
313 - CHEST PAIN,ME,34215.295079343356,13202.30880234305
313 - CHEST PAIN,DE,12359.555907086267,14187.668192938558
315 - HEADACHE,NJ,6514.237552956198,10214.832695506862
315 - HEADACHE,NY,11349.934174969218,4721.047230482681
317 - BACK PAIN,MT,32395.90820811771,13817.65900737186
313 - CHEST PAIN,SC,13068.33058670218,5093.358794291311
317 - BACK PAIN,IA,15159.338369376264,7234.534179985422
315 - HEADACHE,FL,6131.287659034138,7506.095733147141
315 - HEADACHE,NV,37531.88025073716,8367.498478471536
313 - CHEST PAIN,AK,41466.39798917467,12481.989791171394
316 - FEVER,LA,40858.16795474554,12625.732537229815
314 - ABDOMINAL PAIN,RI,10740.56681139279,11635.86087933737
315 - HEADACHE,IA,45648.55073249417,3265.5440930589793
315 - HEADACHE,MT,35252.5473263336,9778.141226605818
316 - FEVER,NM,45388.7880069589,11969.9154705768
316 - FEVER,NJ,25122.222703879863,8335.502880738513
317 - BACK PAIN,MA,24662.968748766398,14339.232544384757
317 - BACK PAIN,MI,40304.14334082029,12885.726262564212
314 - ABDOMINAL PAIN,MN,9198.403496453459,10657.86078584197
314 - ABDOMINAL PAIN,OR,28439.33164856986,3749.1022041901606
313 - CHEST PAIN,RI,42637.290603405156,10828.154970997657
317 - BACK PAIN,KY,42358.66533813071,13938.955215026626
315 - HEADACHE,CA,48025.978535406604,7553.344642571417
317 - BACK PAIN,AZ,36422.266708874595,13057.590307264332
315 - HEADACHE,VT,14349.678324787776,6757.933714346148
316 - FEVER,LA,5912.614170256137,9841.239498567633
317 - BACK PAIN,KY,26573.71093821959,10781.093020449389
316 - FEVER,AK,28116.673953015,11135.940450706737
314 - ABDOMINAL PAIN,CA,15811.816302451916,13590.591773572178
314 - ABDOMINAL PAIN,MI,10611.385120562143,5815.467204075385
313 - CHEST PAIN,SD,31379.367478572905,6148.435023467697
317 - BACK PAIN,OK,39391.50533108636,11448.491919728842
316 - FEVER,NM,49691.93466155722,5126.325749808457
315 - HEADACHE,CT,39123.617774473336,8571.244859567523
314 - ABDOMINAL PAIN,LA,40713.45864150114,3240.4126089265815
314 - ABDOMINAL PAIN,SD,32740.739520295887,4691.75204388137
315 - HEADACHE,MT,49366.5196536508,11146.156620346337
316 - FEVER,CO,33798.03733015567,11969.539241781047
316 - FEVER,CO,43711.39788798669,4383.828398854523
317 - BACK PAIN,MA,47560.309080843006,5732.514604934364
317 - BACK PAIN,KY,46843.632522525244,4186.853358444613
313 - CHEST PAIN,TX,22163.690470251044,8200.954127101402
314 - ABDOMINAL PAIN,RI,8539.792624141639,4513.392848935599
317 - BACK PAIN,TN,12734.316614266107,8247.552206002681
316 - FEVER,GA,7665.048742847336,11785.17906961358
315 - HEADACHE,CO,9742.862067311302,11200.66359772101
316 - FEVER,UT,13309.306065216393,6365.525842222143
314 - ABDOMINAL PAIN,AK,20349.244246433078,11085.150590963189
316 - FEVER,GA,29459.28409587841,14132.545570794924
313 - CHEST PAIN,VT,37025.69267097887,7170.292645018986
314 - ABDOMINAL PAIN,PA,14491.730124793037,6949.42984437128
315 - HEADACHE,MN,35263.50819071627,9857.26381778421
313 - CHEST PAIN,MN,36691.65835260888,5946.021732329662
314 - ABDOMINAL PAIN,MN,30138.005158978525,10818.947135763025
315 - HEADACHE,OK,45662.804140941975,12987.14124806977
313 - CHEST PAIN,NJ,9994.76662648148,8511.822061183584
313 - CHEST PAIN,SC,12970.465592108878,11154.087899140588
314 - ABDOMINAL PAIN,WV,24289.917097526817,10822.625086595945
317 - BACK PAIN,OH,10702.07308554075,3463.986742171074
313 - CHEST PAIN,ME,30483.326467583935,5200.995542109316
313 - CHEST PAIN,DE,22928.020997424097,13722.36002181756
315 - HEADACHE,AL,17806.81075411633,14266.705768380232
316 - FEVER,OH,12649.541585793677,12365.27567893413
314 - ABDOMINAL PAIN,AL,20090.220725669464,14054.977779932336
314 - ABDOMINAL PAIN,MO,32358.17078745539,6673.783811022898
317 - BACK PAIN,CA,30910.33449002352,5972.531661348564
317 - BACK PAIN,CA,12363.080009460522,7611.60225072624
314 - ABDOMINAL PAIN,ME,10621.391483328503,3664.1039826054343
317 - BACK PAIN,NV,6200.454317399264,12718.459428495933
315 - HEADACHE,VT,5559.151720726952,14810.105821380926
314 - ABDOMINAL PAIN,NC,44591.469607385836,12888.351509239317
317 - BACK PAIN,OH,7028.998520242547,9659.704018230577
314 - ABDOMINAL PAIN,NH,37904.94994429608,6543.383645795398
316 - FEVER,UT,44239.329331023066,5372.374662522967
313 - CHEST PAIN,TX,9412.603185310592,7368.75446155992
314 - ABDOMINAL PAIN,PA,24633.56407248579,11003.634354578477
313 - CHEST PAIN,CT,48303.63424284245,8364.738666489884
317 - BACK PAIN,KY,42536.23972356133,14208.717841013833
313 - CHEST PAIN,OK,27036.681433603477,13250.64411558879
314 - ABDOMINAL PAIN,MS,39315.700075619876,4228.8073915547875
316 - FEVER,CA,42501.99309942487,4578.30268662852
317 - BACK PAIN,UT,20661.213343492367,11114.87022360133
314 - ABDOMINAL PAIN,MO,45146.88125914824,5769.220679764252
317 - BACK PAIN,AZ,26171.299385472055,12492.358524141015
315 - HEADACHE,IN,28751.33136014735,10096.297707916237
313 - CHEST PAIN,ME,49986.8437019824,5757.9663328002
315 - HEADACHE,IN,42948.63347684726,8744.241569767095
314 - ABDOMINAL PAIN,AZ,21279.650259784103,7872.9155084044005
316 - FEVER,RI,5465.551841271497,13477.912310272855
317 - BACK PAIN,VT,33177.83332072526,3385.9496997246033
313 - CHEST PAIN,SD,36676.10417576485,13750.126685601479
317 - BACK PAIN,UT,34286.12105645209,10824.99219455692
314 - ABDOMINAL PAIN,LA,48553.805802344585,11850.458250580545
317 - BACK PAIN,KS,43833.696229946494,3031.2895607116047
313 - CHEST PAIN,ME,25197.426193129184,10538.873208446788
314 - ABDOMINAL PAIN,MS,7828.586936257143,10061.833964532312
317 - BACK PAIN,NM,26422.64462758986,9446.466676635599
316 - FEVER,OK,36015.98089829104,12430.40228047062
314 - ABDOMINAL PAIN,CA,32346.94137021521,9670.453156758063
314 - ABDOMINAL PAIN,AZ,29216.16804698982,13285.16627471829
316 - FEVER,DE,26096.85311068586,5791.577836915661
315 - HEADACHE,ME,18219.284286232385,12671.791067660399
313 - CHEST PAIN,UT,17480.604277608316,5151.753273897669
315 - HEADACHE,DE,27510.416551661085,12757.413503627758
317 - BACK PAIN,TN,12227.141589334205,14285.562225942813
316 - FEVER,CT,20330.84406086607,7028.329707724609
315 - HEADACHE,MN,19579.067361954483,9358.635767762265
314 - ABDOMINAL PAIN,AL,31420.97607128904,10899.948275077772
317 - BACK PAIN,CA,8000.703516336106,3953.6599902539356
317 - BACK PAIN,WV,42335.09061192928,8928.968618449442
315 - HEADACHE,AZ,30307.027117298097,7327.019719058961
315 - HEADACHE,CA,35187.200634917084,13469.467575015697
316 - FEVER,VT,36639.22566917448,13520.154224499915
313 - CHEST PAIN,NJ,18116.786157914143,11409.354474566842
315 - HEADACHE,MI,26166.720532318992,10868.69369510998
315 - HEADACHE,NE,48031.068014135024,11804.261511310282
314 - ABDOMINAL PAIN,IA,39501.73570985667,7391.842812033685
317 - BACK PAIN,GA,48630.05938504334,7854.230961007505
313 - CHEST PAIN,WI,38581.44553158298,9644.456674664463
314 - ABDOMINAL PAIN,IL,12902.006286883283,14256.33752837361
316 - FEVER,UT,7904.11477301043,11687.99848943475
316 - FEVER,CT,30994.764652384863,9611.87093395468
315 - HEADACHE,MA,21101.59758661743,12244.956178760574
315 - HEADACHE,MO,17395.60595621766,7450.683746861101
316 - FEVER,NV,41324.49483914379,11765.600413732447
315 - HEADACHE,SC,21514.69701868763,7928.114979392404
313 - CHEST PAIN,FL,19265.043638043677,6355.936884179833
315 - HEADACHE,AL,43249.44169260547,10316.68857026751
317 - BACK PAIN,AZ,43082.930141890705,11242.530715802213
315 - HEADACHE,AZ,21036.49869897755,8511.52273415477
314 - ABDOMINAL PAIN,MO,42462.44154436848,9786.008776266019
313 - CHEST PAIN,WI,43285.032064969724,11328.792898271482
314 - ABDOMINAL PAIN,DE,24076.87407633498,12212.520618690114
314 - ABDOMINAL PAIN,MD,7991.29085941272,13746.857748996914
317 - BACK PAIN,MN,5071.309000985305,7254.530475171938
313 - CHEST PAIN,OR,28548.160830004774,14417.727034231122
313 - CHEST PAIN,NM,20483.397201666005,10647.35772147705
313 - CHEST PAIN,NJ,49870.93523712647,12452.422592387375
313 - CHEST PAIN,MN,39758.49498322779,11397.22852177726
313 - CHEST PAIN,ID,39257.39553576856,5466.860704180879
317 - BACK PAIN,MA,47985.92457293047,3857.26059610594
315 - HEADACHE,NJ,44947.597905199436,11715.437568217443
314 - ABDOMINAL PAIN,TX,19318.43657553749,9132.632013534918
313 - CHEST PAIN,UT,12469.424972174436,11426.560420899896
315 - HEADACHE,OK,38565.1519279467,8722.113646985517
315 - HEADACHE,AL,22022.325215729285,6746.814244998048
314 - ABDOMINAL PAIN,NY,26292.76932339304,6420.214911114819
317 - BACK PAIN,NM,33367.89790736721,11766.38557043993
316 - FEVER,WY,45854.27046208583,6321.360977589296
316 - FEVER,ME,23858.94891519347,11576.12245110505
315 - HEADACHE,LA,40249.26005987126,7607.521515808542
314 - ABDOMINAL PAIN,SC,17075.290607359588,12250.78085182563
316 - FEVER,IA,36408.73059156261,4713.7191093920355
315 - HEADACHE,MS,5071.073948506034,5459.7593184521465
317 - BACK PAIN,MT,44217.82460707856,11230.939268641961
316 - FEVER,KS,6367.081097950812,9722.773442379152
315 - HEADACHE,WV,37073.91896431628,5446.5401114591905
315 - HEADACHE,MN,7081.618516757775,13833.92414072186
313 - CHEST PAIN,AZ,16981.056472730153,6311.329768951755
317 - BACK PAIN,MD,27374.10816004489,8052.856778323606
313 - CHEST PAIN,VA,23897.240840670718,5427.4553024704555
314 - ABDOMINAL PAIN,OK,13632.625157045475,7656.33142009817
313 - CHEST PAIN,OR,20021.671026915683,8899.76100133769
313 - CHEST PAIN,CA,37746.78665274352,6542.964654155029
316 - FEVER,AL,35116.56916608417,12229.1240783578
315 - HEADACHE,MI,8231.656269376206,7727.195743754965
317 - BACK PAIN,NJ,38629.21215077989,11754.119999505205
313 - CHEST PAIN,CT,7387.064653866276,5484.86610468292
317 - BACK PAIN,RI,29431.687509490297,7524.4259615181445
313 - CHEST PAIN,AL,16702.82366189858,3096.699466746422
314 - ABDOMINAL PAIN,AL,31446.05574019185,12103.651006964541
313 - CHEST PAIN,NV,16759.777817340582,10510.63973196581
316 - FEVER,MI,49323.108633162396,12813.879899045474
315 - HEADACHE,KY,18937.76826773893,8467.32945723256
314 - ABDOMINAL PAIN,VA,15888.22860535232,12596.88772455407
313 - CHEST PAIN,TN,17530.93809119057,10770.99053125174
317 - BACK PAIN,NE,45341.278576668294,3043.355190410864
314 - ABDOMINAL PAIN,KY,33629.84729012051,6044.3315410621435
314 - ABDOMINAL PAIN,NH,37880.78438393494,8926.696226474976
313 - CHEST PAIN,AL,46310.47295424577,10424.248196543656
314 - ABDOMINAL PAIN,PA,46034.261818025334,3787.0903759756457
317 - BACK PAIN,HI,38252.56309604274,11460.9591382055
314 - ABDOMINAL PAIN,VT,13902.09929785953,9522.43317176712
317 - BACK PAIN,LA,42951.79943037525,9309.351681819428
313 - CHEST PAIN,MS,14169.921538597868,6504.546697174981
315 - HEADACHE,DE,38430.446634429434,10137.877193886921
314 - ABDOMINAL PAIN,VA,35852.13799451935,3329.914675581296
315 - HEADACHE,DE,39149.9982563201,3776.403966047862
317 - BACK PAIN,VA,28970.855632121707,11806.441046554099
314 - ABDOMINAL PAIN,KS,33742.67820121488,6862.696110407567
316 - FEVER,OK,47899.40361954149,7163.6049074938055
315 - HEADACHE,WV,9548.98673783967,5500.622439077422
314 - ABDOMINAL PAIN,WA,18898.1273651729,8347.448305199185
315 - HEADACHE,CA,32511.06558942721,3623.9211769356034
314 - ABDOMINAL PAIN,IA,48382.43585591702,6604.358682853364
313 - CHEST PAIN,IA,9300.850144817052,9325.48706133237
315 - HEADACHE,KY,6014.714968853889,8587.583058709644
316 - FEVER,DE,7508.731931164761,14996.035717476405
316 - FEVER,NC,7358.255890753946,7665.17582540292
317 - BACK PAIN,MD,45851.713599983195,7643.988711051707
314 - ABDOMINAL PAIN,AK,37456.605857022114,9042.981328973525
315 - HEADACHE,HI,35469.786478832524,5283.637323254758
317 - BACK PAIN,CA,28515.776911781428,13515.653075509894
315 - HEADACHE,LA,40187.867763746835,9867.213466373381
314 - ABDOMINAL PAIN,RI,12004.159674271586,5305.29167039307
316 - FEVER,IL,22637.353540479682,12521.299096465587
313 - CHEST PAIN,CT,27050.191284395456,3411.986053714239
316 - FEVER,MN,9968.427395452682,14790.770407025127
317 - BACK PAIN,NC,23878.116920188262,13381.792017256455
313 - CHEST PAIN,TX,19242.580066817914,9955.673466408238
317 - BACK PAIN,MA,6601.196560705819,4335.547953084798
314 - ABDOMINAL PAIN,AL,11153.093122815586,5583.273279476058
313 - CHEST PAIN,WI,39381.65704253623,6353.2220437627575
317 - BACK PAIN,CT,5811.705927709,5892.380854843332
314 - ABDOMINAL PAIN,MD,47041.39845933625,8970.240125441349
316 - FEVER,ME,8889.108460125684,14334.724443205774
314 - ABDOMINAL PAIN,CT,40965.71423915562,8330.071017213726
315 - HEADACHE,WA,45437.744342456186,10938.774818080867
314 - ABDOMINAL PAIN,OH,47351.10131827012,11262.998471745877
314 - ABDOMINAL PAIN,MS,44036.466057318765,13458.968703053793
315 - HEADACHE,MS,17939.751774144945,3405.855450858231
317 - BACK PAIN,NE,19988.920910231463,7851.960712170506
317 - BACK PAIN,IN,24194.55643745342,12416.821369033192
314 - ABDOMINAL PAIN,DE,11268.351023319537,12778.404179585355
315 - HEADACHE,KS,6002.260478025074,14127.991382088134
315 - HEADACHE,VA,44110.47264264656,11433.532317816027
316 - FEVER,NV,29935.792229470535,5941.847353256922
317 - BACK PAIN,NE,32392.532398019735,9067.988917012539
313 - CHEST PAIN,OH,46714.48136680079,3388.143455026771
317 - BACK PAIN,KS,34930.408015112705,10763.140093178961
317 - BACK PAIN,PA,36088.40769529161,9651.54253810508
316 - FEVER,WA,40413.5891796534,11002.035369135516
313 - CHEST PAIN,NV,10235.68024358317,14161.686640651145
316 - FEVER,CO,21207.296894620617,11247.31934064518
313 - CHEST PAIN,AK,48569.35674665148,6845.399164497135
314 - ABDOMINAL PAIN,OH,46531.8535145273,5384.839966441881
313 - CHEST PAIN,KY,44783.38833395831,13255.634481823858
316 - FEVER,MS,25343.98296525376,5331.985719285127
317 - BACK PAIN,SC,43573.68291140626,4939.314967144367
313 - CHEST PAIN,KY,7177.814687559452,5479.34496817171
313 - CHEST PAIN,IA,11683.284091570285,9106.090177566082
315 - HEADACHE,NJ,23628.546431782437,4490.249317913482
317 - BACK PAIN,NE,26752.64300069569,14257.419967160427
314 - ABDOMINAL PAIN,OR,16857.821908438556,14595.044486881075
316 - FEVER,KS,21041.450188150433,14685.622239395987
314 - ABDOMINAL PAIN,AZ,12324.924546141596,3469.4976578366377
317 - BACK PAIN,MS,27011.031427215825,14354.37031776038
313 - CHEST PAIN,NJ,40722.948179053754,14968.979191409102
313 - CHEST PAIN,OK,34761.21771475876,14309.149312145844
317 - BACK PAIN,OH,9850.651131449358,11051.266869152474
313 - CHEST PAIN,TX,26941.172152852225,11414.76182890201
313 - CHEST PAIN,TX,36394.08722508762,4467.035278481371
313 - CHEST PAIN,MS,28845.288344927354,13491.56492489955
316 - FEVER,DE,22625.401844099702,3715.6750155452582
316 - FEVER,AZ,32986.14895777452,6812.766559411677
315 - HEADACHE,NC,48588.7399385124,14893.819741778243
314 - ABDOMINAL PAIN,NY,9270.85593947351,8067.934549235943
317 - BACK PAIN,ME,22550.722733640232,4573.874687583105
317 - BACK PAIN,VT,23297.263387074305,14631.53594458896
317 - BACK PAIN,DE,30963.528971076696,14809.675764500833
315 - HEADACHE,TX,11847.857084686304,5244.512222864572
316 - FEVER,AL,12948.936344171128,13377.64570488205
315 - HEADACHE,IA,17841.26236990346,7685.079914326701
317 - BACK PAIN,NC,48014.15194708338,7576.421573840574
314 - ABDOMINAL PAIN,CT,38034.88615539062,6152.37158276282
313 - CHEST PAIN,SD,34776.19857611765,3536.523294658758
316 - FEVER,HI,41763.0959327418,6216.107804222682
316 - FEVER,DE,10740.941101251183,3645.322863996624
315 - HEADACHE,NE,43669.976887568824,14092.46455631956
316 - FEVER,OK,31767.47212493768,10940.64806871274
317 - BACK PAIN,NM,20089.805335652098,13639.471800196698
317 - BACK PAIN,PA,41713.48650855607,11607.488177646848
315 - HEADACHE,MI,41115.40404568808,4575.4424529916705
317 - BACK PAIN,LA,43056.88617725272,14286.978440823574
314 - ABDOMINAL PAIN,OH,10198.305504814198,13798.716643593205
315 - HEADACHE,HI,48621.25602480992,7176.912934812428
314 - ABDOMINAL PAIN,WI,48183.1769205379,4338.4000842201185
313 - CHEST PAIN,UT,21086.13404757837,11449.857009466485
314 - ABDOMINAL PAIN,IL,7965.230819536384,11740.33563284067
313 - CHEST PAIN,KY,12517.505126095355,13761.948538088485
313 - CHEST PAIN,TX,49677.387145011366,3631.869113412959
314 - ABDOMINAL PAIN,NC,30335.582442724837,4700.446056328462
315 - HEADACHE,KS,21047.980947172342,10178.985514550188
317 - BACK PAIN,NV,17969.121223251746,10429.57861044099
317 - BACK PAIN,NH,16564.628088992642,3403.3159477800755
313 - CHEST PAIN,LA,34886.874427451694,7763.184612739901
313 - CHEST PAIN,WV,23872.452418385867,10009.940775312589
315 - HEADACHE,CA,48443.48147158752,11854.935997820807
316 - FEVER,AK,35772.93637904126,6793.808301339943
314 - ABDOMINAL PAIN,PA,40642.00659720325,8806.841916262098
313 - CHEST PAIN,CA,18173.369686242197,12768.658467744111
317 - BACK PAIN,DE,8563.388409888163,14446.740766772886
315 - HEADACHE,IN,26952.027682184646,5763.776104678146
314 - ABDOMINAL PAIN,KS,19156.169594580228,6036.506469838754
315 - HEADACHE,MT,14093.742425356566,14277.818249206506
314 - ABDOMINAL PAIN,MS,47868.89588603876,7750.933809152203
314 - ABDOMINAL PAIN,MN,24979.469645391364,11620.179894248913
313 - CHEST PAIN,NE,12861.886642195353,10347.182744758515
315 - HEADACHE,OH,13939.27937065126,6427.052157528676
315 - HEADACHE,ID,17631.938410906732,10842.746663496298
317 - BACK PAIN,HI,49969.23206853707,10866.79081148368
317 - BACK PAIN,MT,17060.51752338188,10109.318224908915
313 - CHEST PAIN,RI,19796.081206030416,4195.929898194155
313 - CHEST PAIN,WY,34669.76575928007,14942.061868488452
316 - FEVER,VT,18228.261938463424,7804.997534049929
317 - BACK PAIN,SC,14711.191297686202,10659.011824763867
314 - ABDOMINAL PAIN,TX,12138.673399231942,13629.140329351432
315 - HEADACHE,WA,19070.719926250647,8079.461861038037
313 - CHEST PAIN,MO,9766.206033294808,12287.100681666583
315 - HEADACHE,TN,5839.09638866523,14661.893096152871
315 - HEADACHE,WV,41208.87638006048,7307.217123036579
316 - FEVER,OH,11205.272408655946,7863.23484279284
317 - BACK PAIN,LA,39918.958241685905,13866.912707958823
313 - CHEST PAIN,MO,40889.41155439969,4915.714413782196
315 - HEADACHE,RI,29206.37868481594,3343.138060313308
313 - CHEST PAIN,AK,18935.688124082815,13906.668058189342
314 - ABDOMINAL PAIN,NC,11526.47301874498,12859.098889410963
316 - FEVER,MO,38156.229802444956,14670.996390615985
314 - ABDOMINAL PAIN,GA,32062.41436918037,3698.853392528139
313 - CHEST PAIN,CA,34495.405542210385,4874.127965291847
313 - CHEST PAIN,LA,5390.109043030897,4263.750709077706
317 - BACK PAIN,LA,46738.2657068521,11200.99358752451
315 - HEADACHE,CA,7983.058435094761,10272.12088496572
315 - HEADACHE,WY,21506.264831300254,7312.022392647116
314 - ABDOMINAL PAIN,NM,23122.024234326513,3689.08175282694
316 - FEVER,TN,5060.998602407698,10675.943808558492
315 - HEADACHE,ID,27369.018920785868,9841.44582138068
317 - BACK PAIN,MI,38876.40475299545,4354.838532727389
314 - ABDOMINAL PAIN,MI,42047.08939016475,13906.91645368457
314 - ABDOMINAL PAIN,ME,44572.864698764795,5387.396516063887
317 - BACK PAIN,NJ,26947.349074191625,11922.109825726277
316 - FEVER,MO,33378.62857383427,13620.910350515378
317 - BACK PAIN,HI,8578.387098342444,9953.699888324501
316 - FEVER,WA,26961.72009267875,5962.186863579016
317 - BACK PAIN,LA,11966.708969228086,6710.982211501696
317 - BACK PAIN,ME,21633.940293013464,13628.970404625989
313 - CHEST PAIN,UT,19818.73907890697,6579.085876517816
314 - ABDOMINAL PAIN,WY,24059.32597586787,11954.285799807652
317 - BACK PAIN,MA,30723.647808835965,14881.982547064865
317 - BACK PAIN,RI,45629.44911783481,14997.800632352133
315 - HEADACHE,WA,22751.80841063774,9401.756979231977
314 - ABDOMINAL PAIN,ME,49150.903807019786,12918.669561433173
315 - HEADACHE,LA,39156.26216230413,14882.998415054393
314 - ABDOMINAL PAIN,GA,28016.647105477245,7496.074678103787
315 - HEADACHE,IA,33981.18967003748,6028.91502084367
317 - BACK PAIN,AZ,9600.087700937502,4370.800270106198
317 - BACK PAIN,NJ,43003.46890911447,4690.7956568775135
313 - CHEST PAIN,NY,31206.085477878463,13242.67636344796
315 - HEADACHE,CA,49373.03660943208,10064.677083684888
316 - FEVER,ME,33639.29346887821,13484.51010470983
313 - CHEST PAIN,MA,42535.02124698463,12473.461068386021
315 - HEADACHE,WI,40989.32342578579,11084.935560576214
315 - HEADACHE,VT,20545.751816072097,10311.74630288233
313 - CHEST PAIN,VA,16682.478135494523,3580.0668501371156
317 - BACK PAIN,GA,24372.21125441795,13467.302352038307
315 - HEADACHE,IN,26025.86049839767,8014.104740156571
317 - BACK PAIN,KS,15803.811587148975,9717.442284856705
313 - CHEST PAIN,NV,45256.904300793736,3263.4420225242484
317 - BACK PAIN,KS,29414.65380352907,14232.882022353444
314 - ABDOMINAL PAIN,NH,49029.99764691063,13832.885533104018
316 - FEVER,RI,41450.80001208185,9519.336359017267
315 - HEADACHE,MD,30006.71871763757,9927.73959802029
316 - FEVER,NE,47616.81251649617,11460.206548841865
317 - BACK PAIN,NE,27719.366679288818,6176.3387572338015
315 - HEADACHE,MT,44919.79306334017,5662.987472559631
317 - BACK PAIN,NE,21116.515153811248,11088.275359219593
314 - ABDOMINAL PAIN,NE,22038.907253184232,4253.069353906898
313 - CHEST PAIN,WV,23815.8807336919,8448.744056680569
315 - HEADACHE,NH,29598.154067446078,8913.12508798908
314 - ABDOMINAL PAIN,AZ,29907.06215894708,7576.043722982016
314 - ABDOMINAL PAIN,ME,27337.951475468788,5223.218108372816
315 - HEADACHE,NC,18770.043811242536,7263.795171904256
317 - BACK PAIN,AZ,46724.29091558739,7050.6870427254
314 - ABDOMINAL PAIN,AK,31486.374380716443,8991.188095785004
316 - FEVER,OH,23348.264728621773,11096.170098942232
314 - ABDOMINAL PAIN,UT,34302.96323346282,14618.821482314048
317 - BACK PAIN,MD,39558.504101441235,4729.959122091939
317 - BACK PAIN,LA,48232.763970270935,13476.205319292982
316 - FEVER,VA,27479.71230204122,6410.136004683149
314 - ABDOMINAL PAIN,OH,10044.432965784144,10096.473240016869
317 - BACK PAIN,IL,24834.461064644358,9560.843375806417
315 - HEADACHE,AZ,26553.67526540621,9683.381023539156
313 - CHEST PAIN,AZ,45364.73351835532,11680.303340625755
313 - CHEST PAIN,VT,22766.03458083289,7580.259668987951
313 - CHEST PAIN,AZ,47899.59191992123,6829.199558842267
314 - ABDOMINAL PAIN,NE,26830.935847145065,13234.014878225727
316 - FEVER,OR,48820.1225440518,5641.140483291243
317 - BACK PAIN,FL,5368.924450893299,5162.952447733716
315 - HEADACHE,PA,45446.6918662856,3187.2892398631307
315 - HEADACHE,DE,46900.42033745078,5526.933384350241
314 - ABDOMINAL PAIN,WV,48245.942109434596,9222.3771998005
313 - CHEST PAIN,WV,5588.444037857668,9462.106476169363
314 - ABDOMINAL PAIN,PA,12726.537644763905,6053.045894346412
316 - FEVER,KY,34419.40263919563,3867.2900404943985
316 - FEVER,MO,6146.271128079821,11935.689556142474
317 - BACK PAIN,AL,7862.404827942533,12095.704182747597
317 - BACK PAIN,AZ,14948.549316204886,14974.036755498739
316 - FEVER,MT,28059.78959347479,13800.354846416612
